symbol,date,open,high,low,close,volume,amount,factor
SH510300,2015-01-05,3.604,3.735,3.589,3.688,3075898368,11300578304,1.0
SH510300,2015-01-06,3.665,3.708,3.612,3.663,1602342400,5869771264,1.0
SH510300,2015-01-07,3.645,3.69,3.625,3.662,1704322176,6243527168,1.0
SH510300,2015-01-08,3.672,3.682,3.57,3.582,1236136576,4461716992,1.0
SH510300,2015-01-09,3.572,3.725,3.542,3.556,2078056320,7508849664,1.0
SH510300,2015-01-12,3.557,3.58,3.487,3.545,1382650496,4895407616,1.0
SH510300,2015-01-13,3.542,3.576,3.512,3.538,969740096,3440029440,1.0
SH510300,2015-01-14,3.545,3.573,3.49,3.53,963163136,3410790400,1.0
SH510300,2015-01-15,3.53,3.636,3.504,3.63,1311928064,4667964928,1.0
SH510300,2015-01-16,3.643,3.685,3.633,3.662,1313395840,4802719232,1.0
SH510300,2015-01-19,3.469,3.499,3.296,3.296,1276527232,4374566400,1.0
SH510300,2015-01-20,3.31,3.414,3.302,3.382,1700513792,5718203392,1.0
SH510300,2015-01-21,3.394,3.556,3.391,3.537,1388185600,4796846592,1.0
SH510300,2015-01-22,3.543,3.568,3.501,3.543,994191360,3519046912,1.0
SH510300,2015-01-23,3.568,3.613,3.53,3.56,974562304,3483961856,1.0
SH510300,2015-01-26,3.58,3.6,3.542,3.594,880206464,3141158144,1.0
SH510300,2015-01-27,3.602,3.607,3.486,3.558,1231244928,4364745728,1.0
SH510300,2015-01-28,3.531,3.57,3.489,3.501,958400896,3377022720,1.0
SH510300,2015-01-29,3.455,3.488,3.432,3.464,953056640,3303736576,1.0
SH510300,2015-01-30,3.484,3.503,3.406,3.421,1117981696,3856952064,1.0
SH510300,2015-02-02,3.36,3.399,3.333,3.344,858340416,2885463808,1.0
SH510300,2015-02-03,3.383,3.435,3.353,3.423,872503680,2952260352,1.0
SH510300,2015-02-04,3.439,3.47,3.38,3.384,1093056896,3754964992,1.0
SH510300,2015-02-05,3.475,3.48,3.34,3.344,1464772224,5016368640,1.0
SH510300,2015-02-06,3.344,3.361,3.269,3.294,1332376576,4433202688,1.0
SH510300,2015-02-09,3.294,3.37,3.29,3.332,1251856640,4161309952,1.0
SH510300,2015-02-10,3.336,3.401,3.333,3.399,1393534592,4692324864,1.0
SH510300,2015-02-11,3.403,3.435,3.402,3.421,1191126016,4072350208,1.0
SH510300,2015-02-12,3.421,3.446,3.393,3.435,778512192,2662860032,1.0
SH510300,2015-02-13,3.443,3.503,3.443,3.457,1081377536,3752357120,1.0
SH510300,2015-02-16,3.456,3.495,3.451,3.486,842154752,2922890496,1.0
SH510300,2015-02-17,3.501,3.529,3.5,3.517,897306048,3155300352,1.0
SH510300,2015-02-25,3.514,3.514,3.444,3.463,1377980544,4794796544,1.0
SH510300,2015-02-26,3.46,3.569,3.445,3.566,1251704064,4392817152,1.0
SH510300,2015-02-27,3.564,3.585,3.542,3.559,1033178816,3683288832,1.0
SH510300,2015-03-02,3.583,3.598,3.551,3.587,1151242240,4115162880,1.0
SH510300,2015-03-03,3.563,3.563,3.485,3.489,1196503296,4216664832,1.0
SH510300,2015-03-04,3.501,3.532,3.478,3.518,869686656,3049939712,1.0
SH510300,2015-03-05,3.497,3.506,3.451,3.488,1061900736,3692919552,1.0
SH510300,2015-03-06,3.485,3.501,3.457,3.466,918423360,3197044480,1.0
SH510300,2015-03-09,3.432,3.544,3.401,3.534,1498949760,5181078016,1.0
SH510300,2015-03-10,3.521,3.537,3.496,3.509,1061447808,3729284864,1.0
SH510300,2015-03-11,3.51,3.565,3.495,3.514,1413614976,4990033408,1.0
SH510300,2015-03-12,3.538,3.597,3.526,3.578,1438513280,5121790464,1.0
SH510300,2015-03-13,3.586,3.625,3.573,3.598,920002880,3312797696,1.0
SH510300,2015-03-16,3.62,3.694,3.601,3.687,1241954176,4527500288,1.0
SH510300,2015-03-17,3.715,3.742,3.701,3.734,1377257728,5121293824,1.0
SH510300,2015-03-18,3.742,3.839,3.742,3.833,1332204288,5037976576,1.0
SH510300,2015-03-19,3.816,3.832,3.793,3.813,1374798464,5245857792,1.0
SH510300,2015-03-20,3.824,3.896,3.81,3.867,1271122048,4883603456,1.0
SH510300,2015-03-23,3.907,3.98,3.902,3.945,950611968,3736073728,1.0
SH510300,2015-03-24,3.951,3.962,3.868,3.941,1626694656,6375751680,1.0
SH510300,2015-03-25,3.926,3.951,3.881,3.917,1218971392,4781120000,1.0
SH510300,2015-03-26,3.9,3.966,3.86,3.92,1275240832,4992388096,1.0
SH510300,2015-03-27,3.927,3.972,3.91,3.95,884522816,3479800320,1.0
SH510300,2015-03-30,3.983,4.09,3.975,4.076,1280276096,5176868864,1.0
